City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
83,puerto ayora,73,EC,1571108267,89,-0.74,-90.35,66.99199999999999,0.89
84,yarkovo,100,RU,1571108267,56,54.81,82.6,51.83600000000007,5.819
85,longyearbyen,67,NO,1571108267,86,78.22,15.63,12.614000000000033,0.93
86,cherskiy,91,RU,1571108267,88,68.75,161.3,18.104000000000052,3.215
87,chokurdakh,100,RU,1571108268,93,70.62,147.9,21.29000000000002,6.248
88,bethel,1,US,1571108268,80,60.79,-161.76,46.4,4.1
89,fortuna,90,US,1571108268,100,40.6,-124.16,51.998000000000026,0.671
90,tasiilaq,0,GL,1571108268,80,65.61,-37.64,32.0,4.1
91,mar del plata,0,AR,1571108268,75,-46.43,-67.52,45.860000000000085,3.217
92,grand gaube,20,MU,1571108269,93,-20.01,57.66,71.00600000000003,3.1
93,kuruman,93,ZA,1571108269,17,-27.46,23.43,69.99800000000002,4.271
94,hithadhoo,100,MV,1571108269,88,-0.6,73.08,78.94400000000007,7.083
95,new norfolk,75,AU,1571108269,81,-42.78,147.06,53.99600000000005,4.6
96,bandarbeyla,70,SO,1571108270,75,9.49,50.81,80.6,4.511
97,bagn,100,NO,1571108270,97,60.82,9.55,35.00600000000003,0.45
98,san cristobal,100,HN,1571108270,95,14.68,-86.92,65.82200000000003,0.924
99,lixourion,20,GR,1571108270,93,38.2,20.43,66.00200000000008,3.69
100,abnub,0,EG,1571108271,64,27.27,31.15,69.80000000000001,5.1
101,riviere-au-renard,90,CA,1571108271,93,49.0,-64.4,50.0,1.0
102,ayan,0,IR,1571108271,33,38.23,44.7,36.44600000000005,0.461
103,sooke,40,CA,1571108271,93,48.37,-123.73,48.992,0.436
104,buta,100,CD,1571108272,97,2.79,24.73,68.32400000000001,0.286
105,hobart,75,AU,1571108272,81,-42.88,147.33,53.99600000000005,4.6
106,yulara,18,AU,1571108272,7,-25.24,130.99,96.8,7.7
107,souillac,100,FR,1571108272,87,45.6,-0.6,55.99400000000007,4.1
108,fayaoue,71,NC,1571108273,70,-20.65,166.53,71.06000000000009,4.31
109,ust-ilimsk,100,RU,1571108273,66,57.96,102.73,41.95400000000005,4.452
110,santa rosa del sur,100,CO,1571108273,95,7.96,-74.05,71.16800000000009,1.312
111,rovaniemi,90,FI,1571108273,94,66.5,25.72,32.0,2.1
112,port elizabeth,1,US,1571108273,93,39.31,-74.98,62.99600000000005,2.693
113,vostok,0,RU,1571108274,31,46.45,135.83,36.608000000000004,5.057
114,masuguru,37,MZ,1571108274,71,-11.38,38.46,77.108,1.987
115,mahebourg,20,MU,1571108274,93,-20.41,57.7,71.00600000000003,3.1
116,dikson,98,RU,1571108274,78,73.51,80.55,25.952000000000076,10.791
117,daru,65,PG,1571108274,63,-9.07,143.21,82.76000000000008,4.435
118,saint george,0,GR,1571108275,93,39.45,22.34,55.400000000000006,0.355
119,codrington,75,AU,1571108275,47,-28.95,153.24,86.0,1.0
120,nanortalik,0,GL,1571108275,67,60.14,-45.24,36.57200000000004,1.632
121,nome,90,US,1571108275,94,30.04,-94.42,77.0,5.1
122,lafia,100,NG,1571108275,96,8.5,8.51,73.47200000000004,1.588
123,port alfred,50,ZA,1571108276,81,-33.59,26.89,62.99600000000005,2.24
124,treinta y tres,99,UY,1571108276,79,-33.23,-54.39,49.56800000000008,5.242
125,atar,91,MR,1571108276,52,20.52,-13.05,80.65400000000005,6.779
126,oistins,40,BB,1571108276,69,13.07,-59.53,82.4,8.2
127,omboue,100,GA,1571108276,97,-1.57,9.26,72.48200000000003,1.147
128,fairbanks,1,US,1571108277,73,64.84,-147.72,28.994000000000074,2.017
129,syamzha,77,RU,1571108277,93,60.02,41.06,30.02000000000006,2.166
130,bambous virieux,20,MU,1571108277,93,-20.34,57.76,71.00600000000003,3.1
131,gdansk,90,PL,1571108277,100,54.35,18.65,51.998000000000026,3.1
132,adre,95,TD,1571108278,76,13.47,22.2,72.87800000000007,1.85
133,lagos,100,NG,1571108278,81,6.46,3.39,81.14000000000001,5.198
134,faanui,12,PF,1571108278,83,-16.48,-151.75,77.81000000000009,8.42
135,kisumu,8,KE,1571108278,87,-0.1,34.75,59.432000000000016,1.523
136,esperance,40,AU,1571108279,87,-33.86,121.89,55.400000000000006,3.6
137,sao filipe,100,CV,1571108279,86,14.9,-24.5,77.59400000000008,9.488
138,tateyama,75,JP,1571108279,72,36.66,137.31,62.99600000000005,3.6
139,iquique,0,CL,1571108279,72,-20.22,-70.14,64.4,2.6
140,berkak,2,NO,1571108280,93,62.83,10.01,28.004000000000055,2.948
141,college,1,US,1571108280,69,64.86,-147.8,32.0,8.2
142,usinsk,100,RU,1571108280,96,66.0,57.56,33.62000000000006,5.567
143,kaitangata,71,NZ,1571108280,75,-46.28,169.85,53.00600000000003,8.94
144,provideniya,75,RU,1571108281,75,64.42,-173.23,41.0,9.0
145,deputatskiy,100,RU,1571108281,92,69.3,139.9,12.146000000000047,2.065
146,chuy,100,UY,1571108281,75,-33.69,-53.46,53.47400000000002,5.418
147,thompson,90,CA,1571108282,95,55.74,-97.86,33.8,2.1
148,rawicz,45,PL,1571108282,93,51.61,16.87,57.992,5.7
149,rock sound,1,BS,1571108282,77,24.9,-76.2,79.142,5.577
150,payson,1,US,1571108282,42,40.04,-111.73,55.400000000000006,3.6
151,matara,1,BI,1571108282,86,-3.48,29.48,58.1,1.937
152,ostrovnoy,89,RU,1571108283,86,68.05,39.51,31.55,2.888
153,balakliya,90,UA,1571108283,93,49.46,36.86,55.400000000000006,4.0
154,pevek,100,RU,1571108283,72,69.7,170.27,32.27000000000006,1.268
155,bredasdorp,19,ZA,1571108284,76,-34.53,20.04,55.004000000000055,3.1
156,ponta do sol,2,BR,1571108284,50,-20.63,-46.0,70.01600000000002,1.465
157,hofn,100,IS,1571108284,86,64.25,-15.21,48.57800000000007,10.544
158,hailey,5,US,1571108284,41,43.52,-114.32,42.8,2.6
159,saldanha,4,PT,1571108285,93,41.42,-6.55,44.54600000000005,2.421
160,beringovskiy,100,RU,1571108285,94,63.05,179.32,39.74000000000002,13.267
161,trairi,20,BR,1571108285,85,-3.28,-39.27,74.78600000000007,3.198
162,caconda,100,AO,1571108285,87,-13.73,15.06,62.96000000000008,0.938
163,hamilton,75,CA,1571108286,75,43.26,-79.87,46.004000000000055,1.0
164,coihaique,0,CL,1571108286,21,-45.58,-72.07,51.8,3.6
165,medina,0,SA,1571108286,13,24.47,39.61,84.2,2.93
166,san rafael,100,AR,1571108286,93,-34.61,-68.33,36.77000000000006,2.723
167,tambovka,23,RU,1571108286,73,47.32,47.38,57.83000000000004,3.417
168,tuktoyaktuk,20,CA,1571108287,92,69.44,-133.03,23.0,3.6
169,talnakh,100,RU,1571108287,86,69.49,88.39,28.79600000000005,0.992
170,butaritari,87,KI,1571108289,68,3.07,172.79,85.29800000000003,4.128
171,jamestown,97,AU,1571108289,31,-33.21,138.6,70.25,4.229
172,zhigalovo,90,RU,1571108289,42,54.81,105.15,39.74000000000002,1.323
173,ridgecrest,1,US,1571108289,11,35.62,-117.67,69.80000000000001,0.293
174,vardo,1,US,1571108289,81,39.62,-77.74,59.0,2.458
175,yerbogachen,100,RU,1571108290,97,61.28,108.01,34.28600000000007,3.304
